FECHA,N1,N2,N3,N4,N5,N6,COMPLEMENTARIO,REINTEGRO
19/02/2021,6,15,17,20,32,42,28,5
18/02/2021,1,8,32,36,39,41,11,8
17/02/2021,10,28,34,43,48,49,42,0
16/02/2021,4,15,22,33,38,41,35,0
15/02/2021,4,5,12,22,29,35,24,8
13/02/2021,4,6,11,14,17,35,1,1
12/02/2021,4,8,25,41,45,47,34,0
11/02/2021,8,12,22,31,33,38,24,7
10/02/2021,20,21,23,30,36,38,2,0
9/02/2021,10,15,25,26,29,41,6,0
8/02/2021,9,15,37,39,43,47,42,1
6/02/2021,5,16,19,23,25,28,37,7
5/02/2021,25,26,29,39,44,45,18,9
4/02/2021,3,6,13,21,24,43,39,5
3/02/2021,4,12,13,21,30,32,3,4
2/02/2021,1,9,18,21,37,48,38,0
1/02/2021,8,9,22,42,44,45,18,1
30/01/2021,7,10,19,26,32,39,18,3
29/01/2021,7,10,26,33,34,40,21,4
28/01/2021,4,10,13,41,43,47,15,3
27/01/2021,1,3,10,21,29,32,27,8
26/01/2021,3,7,26,32,35,41,20,9
25/01/2021,4,11,14,19,31,48,25,8
23/01/2021,1,11,30,37,48,49,6,9
22/01/2021,4,20,28,39,41,45,10,3
21/01/2021,11,13,19,25,31,49,23,1
20/01/2021,3,6,21,22,26,34,46,7
19/01/2021,16,23,24,33,36,47,27,2
18/01/2021,1,13,18,22,29,39,21,4
16/01/2021,6,9,35,36,39,46,47,8
15/01/2021,14,24,28,33,39,49,1,8
14/01/2021,7,14,27,43,45,47,21,9
13/01/2021,6,10,32,33,36,40,48,4
12/01/2021,23,25,30,37,45,47,9,2
11/01/2021,3,17,19,37,43,45,30,0
9/01/2021,7,11,18,30,31,35,49,6
8/01/2021,8,21,37,45,47,48,22,6
7/01/2021,1,7,12,30,38,49,21,2
6/01/2021,1,14,30,37,39,41,13,0
5/01/2021,2,24,33,38,47,49,26,0
4/01/2021,6,11,29,40,41,44,13,6
2/01/2021,2,20,32,36,38,40,33,5
1/01/2021,10,15,22,35,40,49,1,4
31/12/2020,9,12,18,25,28,45,2,5
30/12/2020,5,8,18,44,47,49,14,7
29/12/2020,4,15,18,27,33,34,41,4
28/12/2020,8,21,22,27,35,40,13,1
26/12/2020,4,7,14,22,36,37,1,4
25/12/2020,5,9,11,34,37,49,23,6
